,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59
472394,0.01,0.00999999999999,1114.01,122.01,0.01,0.00999999999999,282.01,0.01,0.00999999999999,0.00999999999999,0.00999999999999,44.01,0.00999999999999,509.01,0.00999999999999,0.00999999999999,6834.01,0.01,0.01,0.00999999999999,0.01,1460.01,0.00999999999999,0.00999999999999,0.00999999999999,0.01,0.01,0.00999999999999,73.01,0.00999999999999,0.00999999999999,0.01,0.01,12.01,636.01,0.00999999999999,0.00999999999999,35.01,3.01,207.01,0.00999999999999,0.01,0.01,1.01,56.01,0.00999999999999,0.00999999999999,0.01,1616.01,0.01,0.01,0.00999999999999,0.00999999999999,0.00999999999999,0.01,0.00999999999999,0.01,1568.01,1512.01,3.01
9706442,267.01,0.01,261.01,0.00999999999999,0.00999999999999,0.01,0.00999999999999,105.01,0.00999999999999,0.01,0.01,0.01,225.01,604.01,0.00999999999999,31.01,189.01,0.01,0.00999999999999,0.01,0.01,363.01,0.00999999999999,0.01,0.00999999999999,0.00999999999999,0.01,291.01,24.01,0.00999999999999,0.01,0.01,0.01,0.01,622.01,0.00999999999999,0.01,0.00999999999999,0.01,0.01,8.01,0.01,0.01,0.00999999999999,0.01,0.01,0.01,0.01,2183.01,0.01,0.01,0.01,0.00999999999999,0.00999999999999,0.00999999999999,0.00999999999999,0.01,264.01,991.01,0.01
9724001,665.01,0.01,485.01,0.00999999999999,0.00999999999999,0.00999999999999,569.01,23.01,44.01,0.00999999999999,0.01,0.01,0.01,4108.01,0.01,0.00999999999999,119.01,0.01,0.00999999999999,0.01,0.01,1608.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00999999999999,0.01,0.01,0.01,0.01,33.01,0.01,0.01,0.00999999999999,0.00999999999999,0.01,0.01,0.01,0.01,0.01,231.01,0.01,26.01,0.01,13488.01,0.01,0.01,0.00999999999999,0.01,0.00999999999999,0.00999999999999,0.00999999999999,0.01,497.01,1057.01,0.01
8630146,0.00999999999999,0.00999999999999,129.01,1169.01,754.01,0.01,52.01,0.00999999999999,108.01,0.00999999999999,0.01,0.00999999999999,49.01,1936.01,0.00999999999999,0.01,190.01,175.01,42.01,0.01,34.01,3885.01,72.01,0.01,52.01,0.00999999999999,114.01,0.00999999999999,0.01,328.01,0.00999999999999,236.01,0.01,0.01,0.01,0.01,0.01,0.0100000000002,32.01,259.01,0.01,4416.01,0.01,0.00999999999999,4484.01,0.00999999999999,0.00999999999999,0.01,1179.01,0.01,0.00999999999999,0.00999999999999,0.00999999999999,1923.01,0.01,0.00999999999999,21.01,513.01,883.01,0.01
100072567,3669.01,111.01,2081.01,0.00999999999999,0.00999999999999,142.01,2435.01,49.01,1600.01,0.0100000000002,0.01,0.01,0.00999999999999,7457.01,0.00999999999999,221.01,982.01,0.01,540.01,0.01,114.01,3981.01,0.00999999999999,0.01,0.00999999999999,0.00999999999999,0.01,1157.01,120.01,0.01,0.01,0.01,0.01,0.00999999999999,0.01,0.01,0.00999999999999,155.01,0.00999999999999,269.01,0.01,129.01,0.01,0.00999999999999,177.01,0.01,0.00999999999999,0.01,11721.01,0.01,1180.01,0.01,150.01,0.01,370.01,59.01,0.01,4516.01,4382.01,0.01
7687801,784.01,0.00999999999999,11001.01,177.01,0.00999999999999,0.01,0.01,0.01,92.01,0.01,0.01,0.01,0.00999999999999,261.01,0.01,241.01,940.01,0.01,1475.01,0.00999999999999,0.00999999999999,4682.01,0.00999999999999,0.01,0.00999999999999,1452.01,0.00999999999999,317.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00999999999999,0.01,0.00999999999999,0.01,0.01,0.01,0.01,0.00999999999999,765.01,0.00999999999999,0.01,0.01,2397.01,0.01,154.01,0.00999999999999,0.01,43.01,0.01,16.01,0.01,99.01,2250.01,0.01
6512780,2104.01,1208.01,1378.01,0.00999999999999,0.01,0.01,146.01,0.01,10759.01,0.01,0.01,0.01,1446.01,2001.01,0.01,341.01,0.00999999999999,0.00999999999999,2425.01,0.01,1.01,1202.01,0.00999999999999,0.01,0.00999999999999,812.01,0.01,546.01,0.00999999999999,0.00999999999999,0.01,0.01,0.00999999999999,0.00999999999999,0.01,0.01,0.01,0.01,178.01,0.00999999999999,0.01,0.01,0.00999999999999,138.01,0.01,0.00999999999999,0.01,0.01,4095.01,0.01,4837.01,0.01,0.01,0.01,0.00999999999999,0.01,0.01,0.00999999999999,2980.01,0.01
1285988,549.01,0.00999999999999,136.01,0.01,13133.01,2.01,0.00999999999999,0.0100000000002,0.00999999999999,0.0100000000002,0.01,26.01,0.00999999999999,0.01,3.01,0.00999999999999,312.01,7.01,0.00999999999999,284.01,0.01,2121.01,0.00999999999999,67.01,0.00999999999999,313.01,431.01,689.01,0.00999999999999,0.01,229.01,0.01,0.0100000000002,0.01,328.01,0.01,843.01,23347.01,0.01,0.0100000000002,0.01,2845.01,367.01,0.01,319.01,0.01,62.01,0.0100000000002,0.01,51.01,0.01,0.00999999999999,201.01,0.0100000000002,414.01,51.01,0.00999999999999,468.01,3851.01,546.01
200766,958.01,0.00999999999999,4456.01,0.00999999999999,0.00999999999999,0.01,683.01,0.01,1165.01,53.01,0.01,0.01,0.01,2360.01,0.00999999999999,17.01,0.00999999999999,1.01,0.00999999999999,0.00999999999999,0.01,3774.01,123.01,0.01,0.00999999999999,213.01,0.00999999999999,441.01,245.01,0.00999999999999,0.01,0.01,0.00999999999999,0.01,3992.01,0.01,0.00999999999999,0.00999999999999,0.00999999999999,0.00999999999999,0.01,151.01,0.01,120.01,584.01,0.00999999999999,92.01,0.01,4377.01,0.01,0.01,0.01,22.01,489.01,154.01,0.0100000000002,0.01,9234.01,3898.01,0.01
5062723,1853.01,0.00999999999999,967.01,0.00999999999999,0.00999999999999,0.01,1428.01,0.01,0.01,0.01,0.01,0.00999999999999,0.00999999999999,672.01,0.00999999999999,0.00999999999999,0.00999999999999,0.00999999999999,23.01,0.01,0.01,2485.01,13.01,0.01,0.01,0.00999999999999,0.00999999999999,648.01,0.01,0.01,0.01,0.01,0.01,0.01,408.01,0.01,0.00999999999999,0.01,0.00999999999999,0.01,0.00999999999999,0.01,0.00999999999999,66.01,137.01,0.01,18.01,0.01,5799.01,0.01,90.01,0.01,0.00999999999999,0.00999999999999,4723.01,0.01,0.01,756.01,1833.01,0.01
